page_id	page_name	quality	popularity	authors_interest
655921	Thierry Mandon	46.1212	13.0	0
8856876	Paul Thesing	13.3342	0.0	0
2357320	Once (unité)	10.2418	72.0	0
8632352	Albert-Charles Meyer	21.9241	1.0	0
11839506	Phare de Sestrica Vela (Kornat)	22.1243	0.0	1
1327066	Kent Nielsen	13.7465	0.0	0
557268	Barrage de Tercan	7.7864	0.0	0
8821796	Hamoud Al-Shemmari	9.1058	0.0	0
1329286	Fuyang	0.7471	0.0	0
3299588	Engelbert Zaschka	6.4426	0.0	0
190792	PowerBook 165c	3.4486	0.0	0
10985676	Ni Dieu ni maître (devise)	26.1547	22.0	0
4070348	Alex Da Silva	13.5827	0.0	0
9679608	Mère Joseph Pariseau	13.4291	0.0	0
9428540	Château de Preyssac	27.5108	1.0	0
1347068	François Ier d'Avaugour	15.9067	2.0	0
2890326	Star Trek: Starfleet Academy - Starship Bridge Simulator	5.351	0.0	0
7207996	Farmington (Virginie-Occidentale)	14.886	0.0	0
9533646	(24911) Kojimashigemi	31.1092	0.0	0
3792573	Frisquette	16.8955	0.0	0
929718	Le Cadeau (film)	6.52	6.0	0
6376979	Ilaria Demichelis	8.6805	0.0	0
11089976	Clarke Griffin	16.1077	14.0	1
8006146	Bérénice (fille de Salomé)	12.4482	1.0	0
896813	Transport au Groenland	11.0903	4.0	0
10992276	Cent francs l’amour	15.0974	1.0	0
181880	Fédération des Finances CGT	7.3412	0.0	0
3372109	Pilea cadierei	3.0796	1.0	0
268101	Fabiana Luperini	27.266	1.0	0
1925388	Rue Léopold Courouble	10.8838	0.0	0
11592752	Cimetière militaire britannique de la route de Serre (Beaumont-Hamel)	24.0239	0.0	1
385958	Liste des joueurs canadiens de baseball	25.8184	0.0	0
7667199	Herxheim	0.7835	0.0	0
5224957	Cisco HDLC	2.3898	2.0	0
6124484	Just de Serres	6.591	0.0	0
3922863	Sturmanite	19.4836	0.0	0
9456529	Ed Sprague	0.7321	0.0	0
6317580	Diospyros tessellaria	7.955	0.0	0
6996199	Raymond Lordet	15.2313	0.0	0
7337615	Charles Didelot	0.6906	0.0	0
31815	Courbevoie	66.3203	106.0	0
9533336	(8500) Hori	31.0903	0.0	0
3670908	Catalogue Global	3.6592	6.0	0
3833130	Laurent Prache	17.9397	1.0	0
5539863	Saison 1961-1962 du Stade Olympique Montpelliérain	33.7245	0.0	0
822534	Jack Ryan	10.5879	46.0	1
10833587	Pyrolusite	8.927	2.0	0
1884393	Jean-Baptiste du Plessis d'Argentré	19.3052	0.0	0
259842	Hoffmann	6.5362	5.0	0
10529058	Guy Laporte (homonymie)	0.713	0.0	0
7623306	Jean-Florimond Gougelot	5.6287	0.0	0
4018988	Andriy Protsenko	14.22	0.0	0
4315547	Affidélice	20.1623	1.0	0
9092520	Société archéologique et historique du Limousin	18.9527	0.0	0
5847559	Luis Solórzano	18.4674	0.0	0
6002682	Forsaken Symphony	3.2373	0.0	0
